Регион,Несовершеннолетними или при их соучастии 2016,Ранее совершавшими преступления 2016,В том числе ранее судимыми 2016,Группой лиц 2016,Группой лиц по предварительному сговору 2016,Организованной группой 2016,Преступным сообществом (преступной организацией) 2016,В состоянии алкогольного опьянения 2016,В состоянии наркотического опьянения 2016,В состоянии токсического опьянения 2016,Несовершеннолетними или при их соучастии 2017,Ранее совершавшими преступления 2017,В том числе ранее судимыми 2017,Группой лиц 2017,Группой лиц по предварительному сговору 2017,Организованной группой 2017,Преступным сообществом (преступной организацией) 2017,В состоянии алкогольного опьянения 2017,В состоянии наркотического опьянения 2017,В состоянии токсического опьянения 2017,Несовершеннолетними или при их соучастии 2018,Ранее совершавшими преступления 2018,В том числе ранее судимыми 2018,Группой лиц 2018,Группой лиц по предварительному сговору 2018,Организованной группой 2018,Преступным сообществом (преступной организацией) 2018,В состоянии алкогольного опьянения 2018,В состоянии наркотического опьянения 2018,В состоянии токсического опьянения 2018,Несовершеннолетними или при их соучастии 2019,Ранее совершавшими преступления 2019,В том числе ранее судимыми 2019,Группой лиц 2019,Группой лиц по предварительному сговору 2019,Организованной группой 2019,Преступным сообществом (преступной организацией) 2019,В состоянии алкогольного опьянения 2019,В состоянии наркотического опьянения 2019,В состоянии токсического опьянения 2019,Несовершеннолетними или при их соучастии 2020,Ранее совершавшими преступления 2020,В том числе ранее судимыми 2020,Группой лиц 2020,Группой лиц по предварительному сговору 2020,Организованной группой 2020,Преступным сообществом (преступной организацией) 2020,В состоянии алкогольного опьянения 2020,В состоянии наркотического опьянения 2020,В состоянии токсического опьянения 2020,Несовершеннолетними или при их соучастии 2021,Ранее совершавшими преступления 2021,В том числе ранее судимыми 2021,Группой лиц 2021,Группой лиц по предварительному сговору 2021,Организованной группой 2021,Преступным сообществом (преступной организацией) 2021,В состоянии алкогольного опьянения 2021,В состоянии наркотического опьянения 2021,В состоянии токсического опьянения 2021,"Членом семьи, супругом, сожителем, сексуальным партнером (в том числе бывшими) 2021",Из них в отношении женщин 2021,Из них в отношении несовершеннолетних 2021,Иностранными гражданами и лицами без гражданства 2021,Из них гражданами государств – участников СНГ 2021,Из них трудовых мигрантов 2021,Из них незаконных мигрантов 2021
Алтайский край,8406,133245,53371,461,9850,722,0,94531,1361,0,7070,117117,51382,286,8594,1038,35,80847,2217,8,6677,114561,52419,374,9340,242,235,73620,723,18,6147,109603,51665,330,7912,511,50,67081,343,6,5223,101331,47703,354,5737,608,16,62784,368,0,4802,100104,48483,408,5915,688,34,58144,353,0,24901,18612,7738,1864,1504,141,345
Амурская область,4758,47015,21339,262,4221,200,0,28904,509,19,4044,45463,20747,392,4542,132,0,25835,886,22,3392,43162,22251,144,3743,124,0,24527,812,15,3145,38854,19108,150,3293,197,0,20862,913,19,2568,37782,19634,336,2553,169,0,19859,756,7,1942,37598,19586,199,2045,283,6,19887,604,25,7484,4943,4313,562,431,52,51
Архангельская область,4589,45485,23882,437,7073,396,70,35128,245,35,4051,40000,20907,345,9089,323,16,30863,142,20,3854,39628,20813,545,6428,596,98,28354,217,17,3179,42352,22536,355,6295,142,0,26340,126,0,3471,41639,22586,268,5829,419,0,25788,217,7,2728,38384,21360,176,4860,611,0,21488,190,0,10245,6900,6102,337,251,69,5
Астраханская область,2445,36723,23727,623,5083,218,183,19644,2055,11,2022,32396,18488,264,4869,338,24,17289,1495,15,2388,34247,17697,332,5253,436,17,17101,793,0,1682,35004,18658,277,4958,618,88,17204,397,11,2143,35594,17650,313,4471,687,141,17280,498,18,2134,36032,15843,260,3979,657,8,15642,584,4,10552,8722,4388,1529,1379,66,1518
Белгородская область,1712,30170,16619,238,3676,1073,276,18718,100,0,1263,28809,15805,106,3559,496,412,16175,270,1,1252,29540,16941,270,3098,531,0,16162,327,19,1402,29039,17636,159,2677,422,9,15308,438,4,1049,30404,18477,113,3232,181,907,15331,372,0,1269,30228,19217,58,3166,1180,293,13922,561,0,5484,3724,2652,2123,921,668,178
Брянская область,2383,37640,19540,286,4076,824,234,27175,643,0,1951,32359,17896,178,3382,732,180,22723,397,0,1484,30780,17294,174,3816,656,165,20282,204,11,1664,30822,18852,129,3569,716,0,19583,106,10,1331,33384,19496,194,3774,1016,1,20767,131,18,1093,37498,23044,141,3320,1049,61,18915,108,1,8501,5949,3808,1995,1210,114,491
Владимирская область,4029,43501,25488,806,7303,940,31,32034,397,10,3161,41330,24521,391,6396,122,0,27313,630,3,2655,41818,24353,338,6202,70,0,25499,322,0,2360,36159,21449,169,4306,197,30,21246,228,9,2558,36273,22065,111,4000,281,9,19954,161,9,2002,34300,20328,140,3908,258,22,17824,130,0,6769,4677,3323,1832,1581,469,152
Волгоградская область,5953,77238,40279,675,10712,936,32,51456,561,15,4843,72644,37588,409,9707,921,82,44937,607,14,4029,69713,36618,361,9158,452,0,41195,747,36,4685,67895,35452,379,8244,768,43,40844,668,21,5245,73482,38519,435,9505,811,5,43246,677,9,3633,70484,36395,330,8596,637,155,39594,584,4,13341,8720,6228,2195,1454,105,135
Вологодская область,5421,62828,31004,726,8143,351,0,47975,1386,1,3425,50957,26336,282,6078,256,0,36664,1355,28,3205,46578,25829,189,6339,250,2,29618,907,11,3834,43320,23808,361,6036,211,8,26346,842,8,3158,40642,22745,276,5044,220,198,23016,492,0,2300,40440,22317,229,4065,295,327,20866,631,0,8535,5554,4605,749,608,79,31
Воронежская область,4234,57049,26926,193,7490,401,23,35686,3914,1,3942,56126,27851,194,7004,328,0,34730,3921,17,3809,56083,29759,295,7425,713,84,32444,1419,0,3686,52924,30550,215,6497,478,108,28399,881,9,3180,51482,29436,188,6570,945,180,27341,1328,0,2653,57323,34078,178,7461,371,210,26892,903,5,8204,5301,4911,2418,1459,97,89
